Authors,Title,Year,Source title,Cited by,Affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Language of Original Document,Document Type,Publication Stage,Source
"Nikiforova A., McBride K.",Open government data portal usability: A user-centred usability analysis of 41 open government data portals,2021,Telematics and Informatics,,"University of Latvia, Riga, Latvia; Hertie School Centre for Digital Governance, Berlin, Germany","Open government data, as a phenomena, may be considered an important and influential innovation that has the potential to drive the creation of public value via enabling the prevention of corruption, increase in accountability and transparency, and driving the co-creation of new and innovative services. However, in order for open government data to be fully taken advantage of, it must be found, understood, and used. Though many countries maintain open government data portals, the usability of said portals can vary greatly; this is important to understand as the usability of a portal likely impacts the eventual reuse of the data made available there. Acknowledging the importance of portal usability to the data reuse process, this paper helps to elucidate some initial insights by asking two questions: “How can the usability of open government data portals be evaluated and compared across contexts?” and “What are the most commonly missing usability aspects from open government data portals?”. In order to answer these research questions, a subset of 41 national open government data portals were selected for an in-depth usability analysis drawing on the feedback from 40 individual users. As a result of this analysis, the paper is able to make three primary contributions: (1) the validation of a framework for open government data portal usability analysis, (2) develops an initial comparative international ranking of open government data portal usability, and (3) identifies commonly occurring portal usability strengths and weaknesses across contexts. © 2020 Elsevier Ltd",Open data; Open data portal; Open government data; Usability,Digital storage; Government data processing; Usability engineering; Co-creation; Data portal; Data reuse; Primary contribution; Public values; Research questions; Usability analysis; User-centred; Open Data,"Nikiforova, A.; University of LatviaLatvia; email: Anastasija.nikiforova@lu.lv",English,Article,Final,Scopus
"Wilson B., Cong C.",Beyond the supply side: Use and impact of municipal open data in the U.S,2021,Telematics and Informatics,,"Urban and Environmental Planning, School of Architecture, University of Virginia, 110 Bayly Dr, Charlottesville, VA  22903, United States; Department of Urban and Regional Planning, University of Illinois at Urbana-Champaign, 611 Lorado Taft Dr, Champaign, IL  61820, United States","While the number of open government data initiatives has increased considerably over the past decade, the impact of these initiatives remains uncertain. Recent studies have been critical of the “bias toward the supply side” and lack of “sufficient attention to the user perspective” in the way that open government data initiatives are implemented. This article asks: (1) who is using municipal open government data resources and for what purposes? and (2) what impact are municipal open government data having in cities where they have been implemented? We performed a qualitative analysis of 26 semi-structured telephone interviews conducted with government staff, civic technologists, and private sector stakeholders in nine cities around the United States. Each of these 30 to 45-minute telephone interviews were transcribed and analyzed to distill insights regarding the use and impact of municipal open government data in the nine cities considered. We find that the array of actors within open government data ecosystems at the local level is expanding as distinctions between the public and private sectors becomes increasingly blurred and that the demands of managing and sustaining these initiatives has led to changes in the services offered by local government, as well as in the duties of government staff. The impact of these data resources has been primarily felt within local government itself, although the lack of monitoring mechanisms makes it difficult to systematically evaluate their broader effects. We conclude that open government data initiatives should be coordinated and better integrated with digital equity and digital inclusion efforts in order to advance their political and social goals. © 2020 The Author(s)",Civic technology; Digital equity; Local government; Open data,Government data processing; Service industry; Telecommunication industry; Telephone sets; Digital inclusion; Government staff; Local government; Monitoring mechanisms; Public and private sector; Qualitative analysis; Semi-structured; User perspectives; Open Data,"Wilson, B.; Urban and Environmental Planning, 110 Bayly Dr, United States; email: bw6xs@virginia.edu",English,Article,Final,Scopus
"Bisht A., Kamble M.P., Choudhary P., Chaturvedi K., Kohli G., Juneja V.K., Sehgal S., Taneja N.K.",A surveillance of food borne disease outbreaks in India: 2009–2018,2021,Food Control,,"Department of Basic and Applied Science, National Institute of Food Technology Entrepreneurship and Management (NIFTEM), Kundli, India; School of Food and Advanced Technology, Massey University, Auckland, New Zealand; European Joint Master's Program-FIPDES, AgroParis Tech, Paris, France; USDA-Agricultural Research Service, United States; Bhaskaracharya College of Applied Sciences, University of Delhi, Delhi, India","Knowledge about distribution of food-borne outbreaks and implicated food-vehicles helps in mitigating the risk of food-borne diseases and is critical for designing strategies to control them. In this study data from Integrated Disease Surveillance Program (IDSP) and Open Government Data Platform India (OGDPI) on food-borne outbreaks for the period 2008–2018 was consolidated and analysed. The modelling methods of Gaussian distribution model (GAM) and Autoregressive Integrated Moving Average (ARIMA) were used to probe influence of climatic factors (temperature and rainfall) on food-borne outbreaks. Data analysis showed that states of West Bengal (31.22), Karnataka (29.11) and Gujarat (22.67) reported maximum average outbreaks and contributed to 31.5% illnesses and 8.7% deaths. Amongst 19.6% of outbreaks, grains and beans were found to be food-vehicle causing maximum outbreaks (32.7%), while chemically contaminated food caused maximal deaths (70%). Weak correlations of climatic factors with outbreaks resulted in poor performance of ARIMA models. GAM model was validated and predicted 356 outbreaks for the year 2020, late-April to mid-July being most prevalent months. The analysis also revealed inclination of current surveillance program towards chemically contaminated food that resulted in maximal deaths (70%), while biological agents were observed to be under-reported. Despite the limitations, available data shows that food-borne disease outbreaks remain a public health concern in India. Therefore, it is imperative for India to strengthen its disease surveillance program by undertaking capacity-building initiatives at state/local health-care levels and connecting causative agents of outbreaks. This would help in efficient implementation of risk assessment and risk management strategies. © 2020 Elsevier Ltd",Food-borne disease; IDSP; India; Outbreaks; Surveillance,,"Taneja, N.K.; Department of Basic and Applied Science, India; email: neetu.taneja@niftem.ac.in",English,Article,Final,Scopus
"Golub K., Lund A.",Why open government data? The case of a Swedish municipality,2021,Journal of Data and Information Science,,"Linnaeus University, Växjö, 351 95, Sweden; Södertörn University, Huddinge, Stockholm, 141 89, Sweden","Purpose: The purpose of this exploratory study is to provide modern local governments with potential use cases for their open data, in order to help inform related future policies and decision-making. The concrete context was that of the Växjö municipality located in southeastern Sweden. Design/methodology/approach: The methodology was two-fold: 1) a survey of potential end users (n=151) from a local university; and, 2) analysis of survey results using a theoretical model regarding local strategies for implementing open government data. Findings: Most datasets predicted to be useful were on: sustainability and environment; preschool and school; municipality and politics. The use context given is primarily research and development, informing policies and decision making; but also education, informing personal choices, informing citizens and creating services based on open data. Not the least, the need for educating target user groups on data literacy emerged. A tentative pattern comprising a technical perspective on open data and a social perspective on open government was identified. Research limitations: In line with available funding, the nature of the study was exploratory and implemented as an anonymous web-based survey of employees and students at the local university. Further research involving (qualitative) surveys with all stakeholders would allow for creating a more complete picture of the matter. Practical implications: The study determines potential use cases and use contexts for open government data, in order to help inform related future policies and decision-making. Originality/value: Modern local governments, and especially in Sweden, are faced with a challenge of how to make their data open, how to learn about which types of data will be most relevant for their end users and what will be different societal purposes. The paper contributes to knowledge that modern local governments can resort to when it comes to attitudes of local citizens to open government data in the context of an open government data perspective. © 2021 Sciendo. All rights reserved.",E-government; Open data; Open government,,"Golub, K.; Linnaeus UniversitySweden; email: koraljka.golub@lnu.se",English,Article,Final,Scopus
"Perovich L.J., Wylie S.A., Bongiovanni R.",Chemicals in the Creek: Designing a situated data physicalization of open government data with the community,2021,IEEE Transactions on Visualization and Computer Graphics,,"Art+Design, Northeastern University, MIT Media Lab., United States; Sociology/Anthropology and Health Sciences, Northeastern University, United States; GreenRoots, Inc., United States","Over the last decade growing amounts of government data have been made available in an attempt to increase transparency and civic participation, but it is unclear if this data serves non-expert communities due to gaps in access and the technical knowledge needed to interpret this 'open' data. We conducted a two-year design study focused on the creation of a community-based data display using the United States Environmental Protection Agency data on water permit violations by oil storage facilities on the Chelsea Creek in Massachusetts to explore whether situated data physicalization and Participatory Action Research could support meaningful engagement with open data. We selected this data as it is of interest to local groups and available online, yet remains largely invisible and inaccessible to the Chelsea community. The resulting installation, Chemicals in the Creek, responds to the call for community-engaged visualization processes and provides an application of situated methods of data representation. It proposes event-centered and power-aware modes of engagement using contextual and embodied data representations. The design of Chemicals in the Creek is grounded in interactive workshops and we analyze it through event observation, interviews, and community outcomes. We reflect on the role of community engaged research in the Information Visualization community relative to recent conversations on new approaches to design studies and evaluation. © 2020 IEEE.",data physicalization; environmental HCl; Participatory Action Research; water quality,Chemicals; Data visualization; Digital storage; Environmental Protection Agency; Information systems; Power management; Visualization; Community-based; Data representations; Design studies; Information visualization; Oil storage facilities; Participatory action research; United States environmental protection agency; Visualization process; Open Data,,English,Article,Final,Scopus
"Gonzálvez-Gallego N., Nieto-Torrejón L.",Government data openness and coverage. How do they affect trust in European countries?,2021,Journal of Data and Information Science,,"San Antonio Catholic University of Murcia, Faculty of Law and Business Administration, Avda. de los Jerónimos, 135, Murcia, 30107, Spain","Purpose: This paper aims to assess if the extent of openness and the coverage of data sets released by European governments have a significant impact on citizen trust in public institutions. Design/methodology/approach: Data for openness and coverage have been collected from the Open Data Inventory 2018 (ODIN), by Open Data Watch; institutional trust is built up as a formative construct based on the European Social Survey (ESS), Round 9. The relations between the open government data features and trust have been tested on the basis of structural equation modelling (SEM). Findings: The paper reveals that as European governments improve data openness, disaggregation, and time coverage, people tend to trust them more. However, the size of the effect is still small and, comparatively, data coverage effect on citizens’ confidence is more than twice than the impact of openness. Research limitations: This paper analyzes the causal effect of Open Government Data (OGD) features captured in a certain moment of time. In upcoming years, as OGD is implemented and a more consistent effect on people is expected, time series analysis will provide with a deeper insight. Practical implications: Public officers should continue working in the development of a technological framework that contributes to make OGD truly open. They should improve the added value of the increasing amount of open data currently available in order to boost internal and external innovations valuable both for public agencies and citizens. Originality/value: In a field of knowledge with little quantitative empirical evidence, this paper provides updated support for the positive effect of OGD strategies and it also points out areas of improvement in terms of the value that citizens can get from OGD coverage and openness. © 2021 Sciendo. All rights reserved.",Open data; Open government data; Public policy; Trust,,"Gonzálvez-Gallego, N.; San Antonio Catholic University of Murcia, Avda. de los Jerónimos, 135, Spain; email: ngonzalvez@ucam.edu",English,Article,Final,Scopus
"Gonzálvez-Gallego N., Nieto-Torrejón L., Pérez-Cárceles M.C.",A global measure of open government for the oecd. recommendations for spain [Una medida global de gobierno abierto para la ocde. Recomendaciones para España],2021,Trimestre Economico,,"Facultad de Ciencias Jurídicas y de la Empresa, Universidad Católica San Antonio de Murcia (ucam), Murcia, Spain; Centro Universitario de la Defensa San Javier, Murcia, Spain","Different international organizations and national governments are promoting the adoption of open government strategies. There are rankings to measure the evolution of some of its dimensions, but there is a gap of indicators comprising open data, transparency, participation and collaboration simultaneously. In this paper we propose the Open Government and Participation Index (ogpi), based on previous academic works, to compare open government strategies over time and among different countries. The index, which weighs different open government dimensions, is built for a sample of 33 member countries of the Organisation for Economic Co-operation and Development (oecd) from open and consistent sources. The results show that the areas of transparency and open data have a wide room for improvement and that participation and collaboration strategies require an autonomous approach. By region, open government is more developed in the Commonwealth countries, while those in Eastern Europe present the lowest level of implementation. © 2021 Fondo de Cultura Economica. All rights reserved.",Index; Open data; Open government; Open government data; Participation; Transparency,,,Spanish,Article,Final,Scopus
"Lee J.-S., Jun S.-P.",Privacy-preserving data mining for open government data from heterogeneous sources,2021,Government Information Quarterly,,"Data Analysis Platform Center, Korea Institute of Science and Technology Information (KISTI), University of Science & Technology (UST), 66, Hoegi-ro, Dongdaemun-gu, Seoul, 130-741, South Korea","Open data is a global movement with the potential to generate significant social and economic benefits. Policies on open government data (OGD) inspire the development of new and innovative services that government agencies may lack. The International Open Data Charter adequately describes the importance of data mining. Governments that have signed this charter should focus on the following areas—(i) data mining, (ii) linkage, and (iii) in-depth analysis, i.e., distribution of open data that is freely accessible for elaborate analysis using machine reading. However, a series of practical difficulties is observed in connection with the data mining of OGD for in-depth analysis. First, most OGD do not have identifiers to prevent privacy disclosure. Second, owing to the nature of siloed data, the data sharing and collection methods vary with respect to heterogeneous OGD, and administrative or institutional barriers need to be overcome. This has created a demand for a novel technical solution that applies micro-aggregation and distance-based record linkage to address the aforementioned issues. Thus, in this study, a method capable of integrating two or more de-identified OGDs into one dataset to enable OGD data mining is proposed. In addition, the proposed method allows users to adjust the privacy threshold level to determine an appropriate balance between privacy disclosure risk and data utility. The effectiveness of the method is evaluated in terms of several metrics via extensive experimentation. This study emphasizes the importance of the research on efficient utilization of already-published OGDs, which has been relatively neglected in the past. Further, it broadens the research area for privacy-preserving data mining by proposing a method capable of mining heterogeneous data even in the absence of identifiers. © 2020 The Author(s)",Heterogeneous data sources; Machine learning; Micro-aggregation; Open government data; Privacy-preserving data mining; Synthetic data; Unsupervised learning,,"Jun, S.-P.; Data Analysis Platform Center, 66, Hoegi-ro, Dongdaemun-gu, South Korea; email: spjun@kisti.re.kr",English,Article,Final,Scopus
Kassen M.,Understanding motivations of citizens to reuse open data: open government data as a philanthropic movement,2021,Innovation: Organization and Management,,"Graduate School of Public Policy, Nazarbayev University, Nur-Sultan, Kazakhstan","The purpose of the article is to understand the socioeconomic conditions and driving forces that facilitate and motivate civic developers to reuse open data and create their own data-driven services, often on a free of charge, i.e., philanthropic basis. The recent emergence of myriad independent civic open data-driven projects in many parts of the world promise to propose new participatory ways to meet the needs of local communities and find cost-effective solutions to various issues at local levels of governance such as better urban planning, improvement of public transportation routes, crime rates mapping, assessment of public services, public scrutiny of lobbying activity, etc. However, the competitive market in the e-commerce sector often leaves little economic niches for independent civic developers to hope for big revenues from the promotion of such projects, especially considering the fact that the vast majority of them are implemented at local levels and their target audiences are usually small to ensure even economic self-sustainability. In this regard, the purpose of the paper is to understand what motivates civic developers, who often call themselves technically savvy citizens or independent developers, to step in and begin to reuse open data, which is published by local governments, considering that the creation of such data-driven projects is time and money consuming business, and, more importantly, elaborate on what kind of challenges these civic stakeholders face on the way. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",citizens; motivations; Open data; open government; philanthropy; social democracy,,"Kassen, M.; Graduate School of Public Policy, Kazakhstan; email: maka.mca2@gmail.com",English,Article,Final,Scopus
"Yang T.-M., Wu Y.-J.",Looking for datasets to open: An exploration of government officials' information behaviors in open data policy implementation,2021,Government Information Quarterly,,"Department of Library and Information Science, National Taiwan University, No. 1, Sec. 4, Roosevelt Rd., Taipei, 10617, Taiwan; Department of Public Policy and Management, Shih Hsin University, 5th Floor, No.111, Sec.1, Mucha Rd., Taipei, 116, Taiwan","In recent years, more and more government administrations around the world are participating in open data policy implementation. Government officials who are charged with implementing this new policy usually need to look for related information for deciding what datasets to open to the public. Accordingly, a research gap exists in understanding government officials' information behaviors in implementing open data policy. By using a qualitative approach to conduct semi-structured interviews with government officials who have extensive experience in implementing open data policy, this study explores government officials' information behaviors in searching and selecting datasets for open data publication. Specifically, this research investigates government officials' information needs, the employed information sources, and the intervening variables that influence their information behaviors. While open data is an ongoing policy implementation, government officials' information behaviors form an iterative cycle where information needs continually occur, information seeking activities are conducted by using a variety of information sources, and the obtained information is used to satisfy information needs. The findings and discussions of this study are expected to provide insights of government officials' data search and selection to practitioners and to enrich the current literature of open government data. © 2021 Elsevier Inc.",Data publication; Information behavior; Information need; Information seeking; Information source; Intervening variable; Open data; Open government data,,"Yang, T.-M.; Department of Library and Information Science, No. 1, Sec. 4, Roosevelt Rd., Taiwan; email: tmyang@ntu.edu.tw",English,Article,Article in Press,Scopus
